user_id,country,plan_type,acquisition_channel,signup_date,tenure_days,sessions_last_30d,projects_created,team_size,support_tickets_last_90d,nps_score,monthly_spend,churn_probability,is_churned
U00001,IT,free,organic,2024-04-13,263,3,2,1,1,24,0.0,0.28116758418121185,0
U00002,FR,pro,ads,2024-12-15,17,6,1,1,1,25,51.78,0.29100392838303274,0
U00003,US,free,ads,2024-09-28,95,6,3,20,2,37,0.0,0.3619992734668634,1
U00004,DE,free,referral,2024-04-17,259,1,2,2,2,13,0.0,0.3451019170571809,0
U00005,TR,pro,ads,2024-03-13,294,8,2,5,0,28,43.7,0.15144844903572127,0
U00006,IT,free,referral,2024-07-08,177,7,2,10,1,32,0.0,0.28671512264181426,0
U00007,IT,free,organic,2024-01-22,345,3,0,2,1,24,0.0,0.2463075562827156,0
U00008,US,free,organic,2024-04-13,263,2,1,2,1,-14,0.0,0.335731324628082,0
U00009,IT,free,ads,2024-05-02,244,1,1,3,2,19,0.0,0.34439637536817314,1
U00010,FR,free,partner,2024-08-03,151,3,3,3,1,7,0.0,0.3563600423525319,0
U00011,DE,free,referral,2024-11-27,35,7,0,3,1,9,0.0,0.3864737994447164,0
U00012,US,free,referral,2024-03-29,278,1,1,3,1,19,0.0,0.2921530034756405,0
U00013,FR,free,ads,2024-04-10,266,1,4,4,1,30,0.0,0.28401158757785555,0
U00014,US,pro,referral,2024-12-26,6,14,1,5,0,19,52.7,0.22701140592635777,0
U00015,TR,pro,organic,2024-06-01,214,9,2,5,0,45,49.22,0.15591831944622772,0
U00016,SE,enterprise,organic,2024-05-11,235,5,3,1,1,17,229.85,0.13749076153500017,0
U00017,IT,enterprise,ads,2024-05-30,216,10,5,4,1,18,169.83,0.1387016479000762,0
U00018,DE,enterprise,organic,2024-11-05,57,7,0,5,0,49,242.17,0.13178800723411202,0
U00019,CH,pro,referral,2024-09-15,108,9,2,2,1,29,45.52,0.2338374328748173,0
U00020,DE,pro,ads,2024-12-10,22,10,1,4,1,54,52.62,0.23320462857888846,0
U00021,SE,free,ads,2024-10-21,72,2,1,1,0,12,0.0,0.3574585329319705,0
U00022,IT,pro,ads,2024-07-11,174,5,0,4,1,41,54.58,0.21286622993696067,0
U00023,FR,free,ads,2024-10-04,89,4,1,4,0,46,0.0,0.29229246315211804,1
U00024,FR,pro,organic,2024-06-10,205,8,1,2,0,42,42.22,0.16667808425986086,0
U00025,IT,free,referral,2024-11-10,52,6,2,10,3,6,0.0,0.470089753824159,0
U00026,US,pro,ads,2024-01-23,344,18,2,10,0,54,36.87,0.0946026223021828,0
U00027,DE,free,organic,2024-09-10,113,7,1,5,1,41,0.0,0.30467837482201543,0
U00028,TR,free,organic,2024-08-24,130,7,0,3,2,14,0.0,0.3696516722070375,1
U00029,DE,free,ads,2024-12-11,21,2,1,2,1,32,0.0,0.3946124874273819,0
U00030,NL,free,organic,2024-02-19,317,1,1,5,0,38,0.0,0.2225104035929078,1
U00031,SE,free,ads,2024-02-29,307,6,3,2,0,21,0.0,0.2194819227729943,1
U00032,IT,free,organic,2024-06-19,196,13,3,3,2,14,0.0,0.2998147238565025,0
U00033,IT,free,ads,2024-07-07,178,10,1,3,0,13,0.0,0.2590032080886092,0
U00034,FR,free,organic,2024-09-28,95,4,4,2,1,13,0.0,0.3698733727303079,0
U00035,IT,pro,ads,2024-07-09,176,30,1,4,0,15,63.12,0.1143718346760975,0
U00036,NL,free,partner,2024-06-24,191,4,1,20,0,2,0.0,0.3007271401795592,1
U00037,TR,free,referral,2024-02-21,315,1,1,3,0,11,0.0,0.252615191335983,0
U00038,CH,enterprise,ads,2024-12-30,2,5,1,3,1,54,150.31,0.1987975866845,0
U00039,FR,free,organic,2024-02-25,311,1,1,3,1,42,0.0,0.25062549706431925,0
U00040,TR,free,ads,2024-09-01,122,2,0,2,0,24,0.0,0.31691168171916967,0
U00041,NL,free,referral,2024-11-16,46,3,1,2,0,15,0.0,0.3599162696657192,0
U00042,NL,pro,organic,2024-05-11,235,1,1,10,1,21,44.15,0.23360596942026526,0
U00043,DE,free,referral,2024-11-03,59,2,3,20,1,-6,0.0,0.4296566364677153,0
U00044,DE,free,ads,2024-05-15,231,8,2,10,1,27,0.0,0.26346236195005696,0
U00045,SE,pro,ads,2024-01-22,345,11,3,1,0,38,54.6,0.11909320421653866,0
U00046,NL,free,organic,2024-11-25,37,6,5,4,1,33,0.0,0.3584172019181939,1
U00047,DE,pro,ads,2024-06-16,199,8,5,3,1,31,45.85,0.2025299660431324,0
U00048,FR,free,organic,2024-10-01,92,6,2,5,3,10,0.0,0.44239313565588523,1
U00049,TR,free,ads,2024-03-30,277,5,3,5,1,10,0.0,0.2805033750346648,0
U00050,IT,pro,referral,2024-11-12,50,0,1,3,1,20,53.32,0.3173432858852251,1
U00051,NL,free,referral,2024-01-15,352,1,1,2,0,-4,0.0,0.25429999405730297,0
U00052,DE,pro,ads,2024-08-30,124,3,2,1,0,44,59.41,0.2082434518295687,0
U00053,NL,enterprise,organic,2024-09-22,101,9,4,4,0,42,232.18,0.12164227602631217,0
U00054,IT,free,organic,2024-12-12,20,11,1,2,0,39,0.0,0.29128395472508106,0
U00055,US,enterprise,organic,2024-02-23,313,16,3,20,2,45,183.58,0.0970495000755261,0
U00056,IT,free,organic,2024-12-06,26,5,1,1,1,-9,0.0,0.43098608284068546,0
U00057,TR,pro,ads,2024-04-02,274,8,2,20,1,29,46.45,0.1788585716359601,1
U00058,US,free,ads,2024-09-21,102,1,1,3,1,8,0.0,0.39336320255730134,1
U00059,DE,free,organic,2024-02-05,331,3,2,4,1,3,0.0,0.276534260519789,0
U00060,TR,free,partner,2024-07-25,160,2,3,4,0,-12,0.0,0.34631230957446,1
U00061,TR,free,referral,2024-03-22,285,2,0,5,0,-4,0.0,0.27742686215814927,0
U00062,DE,free,ads,2024-02-20,316,6,1,1,0,43,0.0,0.19459668097732838,0
U00063,FR,enterprise,organic,2024-12-26,6,12,2,10,1,25,244.04,0.16687778859007066,0
U00064,IT,pro,referral,2024-01-03,364,5,0,5,1,32,46.16,0.1605833702446087,0
U00065,TR,free,ads,2024-02-24,312,7,1,10,0,4,0.0,0.2304186456713925,0
U00066,TR,free,organic,2024-04-16,260,2,2,3,0,-11,0.0,0.2972418301899502,0
U00067,TR,pro,organic,2024-09-17,106,4,2,4,0,26,46.37,0.23304702768947194,0
U00068,DE,free,organic,2024-11-06,56,3,3,3,0,25,0.0,0.34126874144421737,0
U00069,CH,free,organic,2024-07-10,175,4,4,1,0,8,0.0,0.3005312896478251,1
U00070,TR,free,partner,2024-08-06,148,5,2,2,1,49,0.0,0.2904444703973398,0
U00071,US,free,ads,2024-02-14,322,2,2,2,0,0,0.0,0.2568592493812297,1
U00072,FR,free,referral,2024-06-11,204,1,0,2,2,18,0.0,0.36584308892659795,1
U00073,TR,pro,ads,2024-07-21,164,4,0,2,0,5,63.4,0.22701680574275562,1
U00074,DE,pro,organic,2024-09-27,96,9,0,3,0,34,40.4,0.20632281433323912,1
U00075,IT,free,partner,2024-12-17,15,7,1,3,0,35,0.0,0.3227877143157906,0
U00076,DE,enterprise,referral,2024-10-31,62,4,0,2,1,48,150.35,0.18829780223138123,0
U00077,DE,free,ads,2024-09-28,95,1,0,20,1,-22,0.0,0.4408151615410075,0
U00078,CH,free,organic,2024-08-03,151,3,5,5,2,25,0.0,0.36992669993457294,0
U00079,IT,free,ads,2024-09-09,114,3,1,1,1,4,0.0,0.37939850759213095,0
U00080,IT,free,ads,2024-07-09,176,3,4,4,0,2,0.0,0.31374707608523156,0
U00081,DE,free,organic,2024-10-23,70,3,1,4,1,23,0.0,0.37527237080259307,0
U00082,DE,free,organic,2024-08-01,153,7,1,1,2,26,0.0,0.3416111998097939,0
U00083,DE,free,organic,2024-07-27,158,2,2,1,0,17,0.0,0.30897724049927605,0
U00084,DE,free,organic,2024-08-25,129,3,2,2,0,18,0.0,0.3152591634870075,0
U00085,CH,pro,organic,2024-12-04,28,2,3,4,0,47,55.68,0.24831450158086416,0
U00086,TR,pro,ads,2024-02-23,313,7,1,20,0,49,45.53,0.13398602988837194,0
U00087,DE,free,organic,2024-10-07,86,3,0,3,0,16,0.0,0.3386314705999054,1
U00088,CH,pro,referral,2024-08-05,149,2,2,20,0,45,60.19,0.20269308448060175,0
U00089,IT,enterprise,referral,2024-09-09,114,1,2,20,0,52,204.96,0.14351196279760678,0
U00090,DE,pro,organic,2024-07-07,178,6,4,4,1,69,45.34,0.18318153302350024,0
U00091,DE,free,ads,2024-02-11,325,5,1,3,0,1,0.0,0.23869668694610718,0
U00092,TR,free,organic,2024-06-06,209,3,2,4,1,39,0.0,0.28693411215945036,1
U00093,US,pro,organic,2024-01-16,351,7,1,5,1,27,48.79,0.16015312216433036,0
U00094,IT,free,ads,2024-10-28,65,2,1,20,2,51,0.0,0.3842053794596703,0
U00095,DE,free,organic,2024-03-06,301,3,4,5,1,13,0.0,0.27768678686118903,1
